ID,Gender,DOB,10percentage,12graduation,12percentage,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary,profile,locale,prefix,first_name,last_name,full_name,gender,dob,birth_country,passport_number,passport_expiry,phone_number,email,secondary_address,building_number,street_name,street_suffix,city,postcode,state_abbr,address,cc_number,cc_expiry,cc_security_code,company_name,company_suffix,user_agent
301647,m,1989-08-21,77.33,2007,85.17,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,2011,485,475,505,0.824666400671332,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,84704.0,"{""locale"": ""en_AU"", ""prefix"": ""Mrs."", ""first_name"": ""Derrick"", ""last_name"": ""Phillips"", ""full_name"": ""Derrick Phillips"", ""gender"": ""m"", ""dob"": ""1975-09-06"", ""birth_country"": ""AU"", ""passport_number"": ""861285832"", ""passport_expiry"": ""2026-03-13"", ""phone_number"": ""+61.483.995.038"", ""email"": ""pwatson@example.net"", ""secondary_address"": ""9/"", ""building_number"": ""48"", ""street_name"": ""Stephanie Crossway"", ""street_suffix"": ""Ridge"", ""city"": ""New Nicoleborough"", ""postcode"": "" 2223"", ""state_abbr"": "" NT"", ""address"": ""9/48 Stephanie Crossway Ridge, New Nicoleborough  NT,  2223"", ""cc_number"": ""5141731810295468"", ""cc_expiry"": ""11/29"", ""cc_security_code"": ""123"", ""company_name"": ""Hawkins Inc"", ""company_suffix"": ""LLC"", ""user_agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/22.0.888.0 Safari/534.1""}",en_AU,Mrs.,Derrick,Phillips,Derrick Phillips,m,1975-09-06,AU,861285832,2026-03-13,+61.483.995.038,pwatson@example.net,9/,48,Stephanie Crossway,Ridge,New Nicoleborough,2223, NT,"9/48 Stephanie Crossway Ridge, New Nicoleborough  NT,  2223",5141731810295468,11/29,123,Hawkins Inc,LLC,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/22.0.888.0 Safari/534.1"
339001,f,1990-10-30,82.0,2008,75.0,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,2012,575,495,365,0.278457409311292,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,82735.0,"{""locale"": ""en_AU"", ""prefix"": ""Dr."", ""first_name"": ""Peggy"", ""last_name"": ""Thomas"", ""full_name"": ""Peggy Thomas"", ""gender"": ""f"", ""dob"": ""1942-07-20"", ""birth_country"": ""AU"", ""passport_number"": ""G91870493"", ""passport_expiry"": ""2029-06-01"", ""phone_number"": ""0401-132-460"", ""email"": ""avalencia@example.net"", ""secondary_address"": ""Suite 618 "", ""building_number"": ""65"", ""street_name"": ""Suzanne Underpass"", ""street_suffix"": ""Circlet"", ""city"": ""Rossshire"", ""postcode"": "" 2619"", ""state_abbr"": "" QLD"", ""address"": ""Suite 618 65 Suzanne Underpass Circlet, Rossshire  QLD,  2619"", ""cc_number"": ""30024791814449"", ""cc_expiry"": ""12/30"", ""cc_security_code"": ""338"", ""company_name"": ""Ramirez-Strickland"", ""company_suffix"": ""Group"", ""user_agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0)""}",en_AU,Dr.,Peggy,Thomas,Peggy Thomas,f,1942-07-20,AU,G91870493,2029-06-01,0401-132-460,avalencia@example.net,Suite 618 ,65,Suzanne Underpass,Circlet,Rossshire,2619, QLD,"Suite 618 65 Suzanne Underpass Circlet, Rossshire  QLD,  2619",30024791814449,12/30,338,Ramirez-Strickland,Group,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0)
1183070,m,1992-11-25,76.8,2010,87.7,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,2014,510,555,440,0.744758354008939,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,82556.0,"{""locale"": ""en_AU"", ""prefix"": ""Dr."", ""first_name"": ""Thomas"", ""last_name"": ""Marquez"", ""full_name"": ""Thomas Marquez"", ""gender"": ""m"", ""dob"": ""2002-08-16"", ""birth_country"": ""AU"", ""passport_number"": ""T66284633"", ""passport_expiry"": ""2027-11-29"", ""phone_number"": ""08 1133 8032"", ""email"": ""younglisa@example.net"", ""secondary_address"": ""Unit 58 "", ""building_number"": ""195"", ""street_name"": ""David Basin"", ""street_suffix"": ""River"", ""city"": ""Allenmouth"", ""postcode"": "" 5622"", ""state_abbr"": "" WA"", ""address"": ""Unit 58 195 David Basin River, Allenmouth  WA,  5622"", ""cc_number"": ""3507982022136239"", ""cc_expiry"": ""04/28"", ""cc_security_code"": ""842"", ""company_name"": ""Morris, Velez and Duke"", ""company_suffix"": ""LLC"", ""user_agent"": ""Mozilla/5.0 (Windows NT 5.2; fa-IR; rv:1.9.0.20) Gecko/5173-05-08 14:57:54.532959 Firefox/3.6.6""}",en_AU,Dr.,Thomas,Marquez,Thomas Marquez,m,2002-08-16,AU,T66284633,2027-11-29,08 1133 8032,younglisa@example.net,Unit 58 ,195,David Basin,River,Allenmouth,5622, WA,"Unit 58 195 David Basin River, Allenmouth  WA,  5622",3507982022136239,04/28,842,"Morris, Velez and Duke",LLC,Mozilla/5.0 (Windows NT 5.2; fa-IR; rv:1.9.0.20) Gecko/5173-05-08 14:57:54.532959 Firefox/3.6.6
794062,f,1993-03-15,57.0,2009,73.0,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,2014,500,410,560,0.622642915849938,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,82735.0,"{""locale"": ""en_AU"", ""prefix"": ""Mr."", ""first_name"": ""Laurie"", ""last_name"": ""Williamson"", ""full_name"": ""Laurie Williamson"", ""gender"": ""f"", ""dob"": ""1921-08-04"", ""birth_country"": ""AU"", ""passport_number"": ""786484549"", ""passport_expiry"": ""2026-10-18"", ""phone_number"": ""0022 0677"", ""email"": ""npowell@example.org"", ""secondary_address"": ""Level 5 "", ""building_number"": ""385"", ""street_name"": ""Lisa Ramble"", ""street_suffix"": ""Highroad"", ""city"": ""Morrisborough"", ""postcode"": "" 2991"", ""state_abbr"": "" SA"", ""address"": ""Level 5 385 Lisa Ramble Highroad, Morrisborough  SA,  2991"", ""cc_number"": ""6588817354931234"", ""cc_expiry"": ""02/26"", ""cc_security_code"": ""110"", ""company_name"": ""Wilkins, Martinez and Harmon"", ""company_suffix"": ""and Sons"", ""user_agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1)""}",en_AU,Mr.,Laurie,Williamson,Laurie Williamson,f,1921-08-04,AU,786484549,2026-10-18,0022 0677,npowell@example.org,Level 5 ,385,Lisa Ramble,Highroad,Morrisborough,2991, SA,"Level 5 385 Lisa Ramble Highroad, Morrisborough  SA,  2991",6588817354931234,02/26,110,"Wilkins, Martinez and Harmon",and Sons,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1)
1088206,m,1990-06-21,77.0,2008,75.0,13424,2,B.Tech/B.E.,electronics & telecommunications,62.0,13424,0,2013,675,630,485,0.207392169717661,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,87568.0,"{""locale"": ""en_AU"", ""prefix"": ""Mrs."", ""first_name"": ""Michael"", ""last_name"": ""Hayden"", ""full_name"": ""Michael Hayden"", ""gender"": ""m"", ""dob"": ""1960-06-27"", ""birth_country"": ""AU"", ""passport_number"": ""U43146771"", ""passport_expiry"": ""2025-04-15"", ""phone_number"": ""+61734361676"", ""email"": ""qcurry@example.com"", ""secondary_address"": ""Flat 90 "", ""building_number"": ""8"", ""street_name"": ""Peggy Rotary"", ""street_suffix"": ""Place"", ""city"": ""Thompsonside"", ""postcode"": "" 1375"", ""state_abbr"": "" QLD"", ""address"": ""Flat 90 8 Peggy Rotary Place, Thompsonside  QLD,  1375"", ""cc_number"": ""2497754501717100"", ""cc_expiry"": ""01/33"", ""cc_security_code"": ""191"", ""company_name"": ""Evans, Buckley and Gibson"", ""company_suffix"": ""Ltd"", ""user_agent"": ""Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_2 rv:6.0; en-ZW) AppleWebKit/532.14.6 (KHTML, like Gecko) Version/5.0.2 Safari/532.14.6""}",en_AU,Mrs.,Michael,Hayden,Michael Hayden,m,1960-06-27,AU,U43146771,2025-04-15,+61734361676,qcurry@example.com,Flat 90 ,8,Peggy Rotary,Place,Thompsonside,1375, QLD,"Flat 90 8 Peggy Rotary Place, Thompsonside  QLD,  1375",2497754501717100,01/33,191,"Evans, Buckley and Gibson",Ltd,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_2 rv:6.0; en-ZW) AppleWebKit/532.14.6 (KHTML, like Gecko) Version/5.0.2 Safari/532.14.6"
1279958,m,1992-07-02,81.2,2008,79.9,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,2013,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,86315.0,"{""locale"": ""en_AU"", ""prefix"": ""Mrs."", ""first_name"": ""Richard"", ""last_name"": ""Clark"", ""full_name"": ""Richard Clark"", ""gender"": ""m"", ""dob"": ""1923-06-01"", ""birth_country"": ""AU"", ""passport_number"": ""N76765448"", ""passport_expiry"": ""2029-04-05"", ""phone_number"": ""+61.3.9739.2873"", ""email"": ""torreslaura@example.org"", ""secondary_address"": ""11/"", ""building_number"": ""576"", ""street_name"": ""Vincent Ramble"", ""street_suffix"": ""Line"", ""city"": ""East Sarahport"", ""postcode"": "" 2906"", ""state_abbr"": "" ACT"", ""address"": ""11/576 Vincent Ramble Line, East Sarahport  ACT,  2906"", ""cc_number"": ""377837849577465"", ""cc_expiry"": ""01/32"", ""cc_security_code"": ""494"", ""company_name"": ""Holloway-Lamb"", ""company_suffix"": ""PLC"", ""user_agent"": ""Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.1)""}",en_AU,Mrs.,Richard,Clark,Richard Clark,m,1923-06-01,AU,N76765448,2029-04-05,+61.3.9739.2873,torreslaura@example.org,11/,576,Vincent Ramble,Line,East Sarahport,2906, ACT,"11/576 Vincent Ramble Line, East Sarahport  ACT,  2906",377837849577465,01/32,494,Holloway-Lamb,PLC,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.1)
1066680,m,1991-09-12,86.4,2009,86.2,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,2014,720,630,750,0.338786347219528,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,87210.0,"{""locale"": ""en_AU"", ""prefix"": ""Dr."", ""first_name"": ""Thomas"", ""last_name"": ""Neal"", ""full_name"": ""Thomas Neal"", ""gender"": ""m"", ""dob"": ""1969-03-04"", ""birth_country"": ""AU"", ""passport_number"": ""812004070"", ""passport_expiry"": ""2028-06-15"", ""phone_number"": ""(03) 7394 0919"", ""email"": ""dannygreen@example.org"", ""secondary_address"": ""Suite 178 "", ""building_number"": ""0"", ""street_name"": ""Levy Point"", ""street_suffix"": ""Line"", ""city"": ""Hilltown"", ""postcode"": "" 2934"", ""state_abbr"": "" SA"", ""address"": ""Suite 178 0 Levy Point Line, Hilltown  SA,  2934"", ""cc_number"": ""4831871492462"", ""cc_expiry"": ""10/27"", ""cc_security_code"": ""978"", ""company_name"": ""Romero-Jackson"", ""company_suffix"": ""LLC"", ""user_agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4; rv:1.9.5.20) Gecko/2563-09-02 21:35:16.634144 Firefox/3.6.5""}",en_AU,Dr.,Thomas,Neal,Thomas Neal,m,1969-03-04,AU,812004070,2028-06-15,(03) 7394 0919,dannygreen@example.org,Suite 178 ,0,Levy Point,Line,Hilltown,2934, SA,"Suite 178 0 Levy Point Line, Hilltown  SA,  2934",4831871492462,10/27,978,Romero-Jackson,LLC,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4; rv:1.9.5.20) Gecko/2563-09-02 21:35:16.634144 Firefox/3.6.5
924541,f,1992-02-25,86.0,2010,89.0,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,2014,520,570,620,0.953899775079926,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,83093.0,"{""locale"": ""en_NZ"", ""prefix"": ""Mr."", ""first_name"": ""Tracey"", ""last_name"": ""Alexander"", ""full_name"": ""Tracey Alexander"", ""gender"": ""f"", ""dob"": ""1975-10-25"", ""birth_country"": ""NZ"", ""passport_number"": ""862844217"", ""passport_expiry"": ""2028-10-01"", ""phone_number"": ""0488.316.601"", ""email"": ""leelisa@example.com"", ""secondary_address"": ""Unit 63 "", ""building_number"": ""882"", ""street_name"": ""Rodriguez Reach"", ""street_suffix"": ""Plaza"", ""city"": ""Alexistown"", ""postcode"": "" 2914"", ""state_abbr"": "" TAS"", ""address"": ""Unit 63 882 Rodriguez Reach Plaza, Alexistown  TAS,  2914"", ""cc_number"": ""6011003604867885"", ""cc_expiry"": ""03/25"", ""cc_security_code"": ""685"", ""company_name"": ""Baker-Scott"", ""company_suffix"": ""PLC"", ""user_agent"": ""Opera/8.91.(X11; Linux x86_64; tig-ER) Presto/2.9.175 Version/12.00""}",en_NZ,Mr.,Tracey,Alexander,Tracey Alexander,f,1975-10-25,NZ,862844217,2028-10-01,0488.316.601,leelisa@example.com,Unit 63 ,882,Rodriguez Reach,Plaza,Alexistown,2914, TAS,"Unit 63 882 Rodriguez Reach Plaza, Alexistown  TAS,  2914",6011003604867885,03/25,685,Baker-Scott,PLC,Opera/8.91.(X11; Linux x86_64; tig-ER) Presto/2.9.175 Version/12.00
512353,m,1991-10-25,66.15,2009,54.0,3603,2,B.Tech/B.E.,computer science & engineering,66.0,3603,0,2013,360,495,280,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,89894.0,"{""locale"": ""en_AU"", ""prefix"": ""Ms."", ""first_name"": ""Mark"", ""last_name"": ""Alexander"", ""full_name"": ""Mark Alexander"", ""gender"": ""m"", ""dob"": ""1918-07-27"", ""birth_country"": ""AU"", ""passport_number"": ""F37491193"", ""passport_expiry"": ""2028-01-27"", ""phone_number"": ""+61-414-424-383"", ""email"": ""wsmith@example.net"", ""secondary_address"": ""63/"", ""building_number"": ""29"", ""street_name"": ""Ward Centreway"", ""street_suffix"": ""Ramble"", ""city"": ""Port Shannon"", ""postcode"": "" 8035"", ""state_abbr"": "" TAS"", ""address"": ""63/29 Ward Centreway Ramble, Port Shannon  TAS,  8035"", ""cc_number"": ""4876749278395"", ""cc_expiry"": ""09/26"", ""cc_security_code"": ""6104"", ""company_name"": ""Hernandez, Randall and Lane"", ""company_suffix"": ""LLC"", ""user_agent"": ""Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_7) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/35.0.827.0 Safari/535.2""}",en_AU,Ms.,Mark,Alexander,Mark Alexander,m,1918-07-27,AU,F37491193,2028-01-27,+61-414-424-383,wsmith@example.net,63/,29,Ward Centreway,Ramble,Port Shannon,8035, TAS,"63/29 Ward Centreway Ramble, Port Shannon  TAS,  8035",4876749278395,09/26,6104,"Hernandez, Randall and Lane",LLC,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_7) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/35.0.827.0 Safari/535.2"
1136577,m,1991-05-22,79.29,2009,68.67,5298,2,B.Tech/B.E.,computer science & engineering,76.0,5298,0,2013,545,505,595,0.356536487724475,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,88462.0,"{""locale"": ""en_AU"", ""prefix"": ""Dr."", ""first_name"": ""Cesar"", ""last_name"": ""Taylor"", ""full_name"": ""Cesar Taylor"", ""gender"": ""m"", ""dob"": ""1968-08-23"", ""birth_country"": ""AU"", ""passport_number"": ""257110954"", ""passport_expiry"": ""2027-02-04"", ""phone_number"": ""+61-419-128-841"", ""email"": ""ngarcia@example.org"", ""secondary_address"": ""Suite 998 "", ""building_number"": ""5"", ""street_name"": ""Campos Plaza"", ""street_suffix"": ""Amble"", ""city"": ""St. Dennis"", ""postcode"": "" 2920"", ""state_abbr"": "" NSW"", ""address"": ""Suite 998 5 Campos Plaza Amble, St. Dennis  NSW,  2920"", ""cc_number"": ""2504190218758601"", ""cc_expiry"": ""04/34"", ""cc_security_code"": ""682"", ""company_name"": ""Smith, House and Blackburn"", ""company_suffix"": ""PLC"", ""user_agent"": ""Mozilla/5.0 (Linux; Android 4.0) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/33.0.837.0 Safari/533.1""}",en_AU,Dr.,Cesar,Taylor,Cesar Taylor,m,1968-08-23,AU,257110954,2027-02-04,+61-419-128-841,ngarcia@example.org,Suite 998 ,5,Campos Plaza,Amble,St. Dennis,2920, NSW,"Suite 998 5 Campos Plaza Amble, St. Dennis  NSW,  2920",2504190218758601,04/34,682,"Smith, House and Blackburn",PLC,"Mozilla/5.0 (Linux; Android 4.0) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/33.0.837.0 Safari/533.1"
